# Legalization file
0 0      1 16      2295 144
409   531.8943 463.88287    14 16
410   201.29253 391.17264    10 16
411   679.6763 234.10803    14 16
412   718.1442 1559.2285    6 16
413   477.2873 1458.1675    6 16
414   81.18324 652.584    6 16
415   4.4777646 126.02934    4 16
416   531.599 517.4264    14 16
417   17.433294 126.02934    4 16
418   799.0528 1143.5929    6 16
419   848.62683 554.829    14 16
420   265.10242 744.1416    10 16
421   1272 2029.8335    101 80
422   863.3767 991.0328    26 16
423   521.7595 2000.1589    6 16
424   699.2934 1084.3058    16 16
425   122.76077 244.76617    12 16
426   62.263603 869.16644    12 16
427   634.18494 1403.9934    12 16
428   280.64606 502.66107    18 16
429   332.89017 2151.9065    6 16
430   486.11993 1331.6404    14 16
431   183.6626 781.1116    8 16
432   1476.5721 221.75354    24 16
433   535.4683 2139.062    12 16
434   401.8308 897.71924    14 16
435   750.5364 593.2583    2 16
436   111.44255 1256.3564    14 16
437   485.21887 1314.9939    14 16
438   52.32273 725.5238    8 16
439   46.43181 21.659113    4 16
440   265.11612 677.531    6 16
441   545.4386 924.3827    4 16
442   714.0718 935.01794    2 16
443   485.78247 146.02437    2 16
444   265.90387 491.01813    20 16
445   1615.0305 817.0631    16 16
446   817.1465 841.29614    14 16
447   607.0967 256.14087    2 16
448   127.4675 476.681    2 16
449   778.593 558.37256    8 16
450   531.31793 2250.5703    2 16
451   768.6122 535.69604    14 16
452   1660.8574 258.39993    42 16
453   396.71808 2064.478    12 16
454   406.85355 1046.2627    8 16
455   1642.587 1803.7961    24 16
456   451.13885 1665.8164    14 16
457   192.86594 893.9147    14 16
458   559.40924 407.93872    8 16
459   137.35031 821.69696    8 16
460   258.3109 220.8829    6 16
461   147.85782 951.54346    6 16
462   211.81534 1512.9949    4 16
463   15.433294 108.739426    8 16
464   766.18494 921.1023    6 16
465   552.5575 441.90326    8 16
466   348.8759 1633.2632    2 16
467   824.2799 1488.1582    12 16
468   208.92291 685.2125    8 16
469   43.880646 201.00642    4 16
470   582.42224 956.95667    12 16
471   464.05997 1603.0581    2 16
472   307.56714 451.53088    8 16
473   564.5174 2248.75    14 16
474   1618.5073 1548.7965    24 16
475   995.18787 1253.8071    24 16
476   661.6958 46.0366    18 16
477   1143.408 1202.9407    28 16
478   585.0653 675.0021    8 16
479   336.7565 2094.0225    6 16
480   437.77985 751.9066    4 16
481   48.53343 1079.2866    14 16
482   162.10321 817.02747    12 16
483   610.90906 402.67596    6 16
484   383.99048 331.84552    6 16
485   495.09296 2067.365    6 16
486   677.81244 953.1124    4 16
487   607.0967 244.87204    2 16
488   546.67163 45.955738    12 16
489   650.7477 50.18435    8 16
490   485.71188 1181.6382    12 16
491   99.918686 737.4066    4 16
492   651.2466 2087.7854    4 16
493   539.1709 595.7041    2 16
494   613.00244 1630.3809    8 16
495   615.2297 1197.5884    4 16
496   692.5362 180.4612    6 16
497   576.48315 389.37192    14 16
498   131.67761 978.7372    6 16
499   1628.2683 817.0631    16 16
500   677.3584 251.71014    14 16
501   96.45402 597.199    6 16
502   441.3374 351.61584    18 16
503   1208.9174 1168.1204    28 16
504   394.07593 331.84552    6 16
505   265.11612 671.08936    6 16
506   455.2811 497.8508    18 16
507   163.94017 1171.6814    12 16
508   552.41833 914.64856    4 16
509   873.8799 442.4356    101 80
510   991.31134 863.5968    24 16
511   302.22473 132.58395    6 16
512   761.4159 1134.4785    16 16
513   359.38715 1647.2046    12 16
514   2.4566393 80.72456    6 16
515   881.8529 1448.5336    8 16
516   723.5824 47.856464    16 16
517   798.22046 504.95483    8 16
518   213.68146 1478.2168    16 16
519   359.2649 1151.3915    14 16
520   417.6258 2270.2297    8 16
521   216.81186 1611.8077    14 16
522   171.35919 1212.9847    2 16
523   714.2924 356.84137    14 16
524   495.09296 2035.7996    6 16
525   710.0811 421.21588    12 16
526   415.56693 96.080795    8 16
527   675.65424 1327.2603    2 16
528   1090.0776 528.2932    16 16
529   275.195 1444.7986    4 16
530   696.1187 729.1594    14 16
531   231.43811 183.74725    4 16
532   609.85657 2103.2803    12 16
533   543.9109 126.157074    4 16
534   763.9631 549.04407    8 16
535   1177.3474 1058.5002    101 80
536   417.38037 1625.821    12 16
537   124.48587 1239.023    12 16
538   91.157394 1179.8818    4 16
539   467.5008 2138.9102    12 16
540   810.7335 232.65588    14 16
541   667.842 1084.3058    16 16
542   857.169 2106.2979    8 16
543   767.33936 2212.7112    14 16
544   625.9081 614.36035    6 16
545   784.99854 830.7869    6 16
546   755.9575 793.5924    6 16
547   528.9946 2291.5    14 16
548   514.44385 734.54736    2 16
549   134.17688 995.60767    14 16
550   129.33743 785.6398    6 16
551   494.60925 2057.219    2 16
552   852.541 811.4359    14 16
553   262.92905 2066.0996    6 16
554   866.0001 686.7801    4 16
555   540.96295 989.9485    14 16
556   250.96057 709.7958    12 16
557   839.77277 2061.6326    12 16
558   44.77192 38.754295    4 16
559   609.4607 1031.5864    2 16
560   840.91907 1438.6609    6 16
561   837.5937 956.9784    26 16
562   857.06213 447.46582    8 16
563   306.76602 2144.016    16 16
564   787.55725 2165.897    14 16
565   53.926277 52.960075    4 16
566   606.73224 354.03876    2 16
567   113.44242 839.0409    6 16
568   238.18234 363.70923    14 16
569   319.12024 740.6809    14 16
570   879.7446 811.4359    10 16
571   504.02777 843.90076    6 16
572   1108.1266 1104.4578    42 16
573   437.1244 1468.8259    6 16
574   1207.1866 1210.1506    16 16
575   622.75165 630.7372    18 16
576   64.43603 -4.6443996    10 16
577   611.54816 61.82985    8 16
578   233.25677 690.5073    8 16
579   425.802 757.5893    2 16
580   652.6113 863.088    14 16
581   385.45984 434.45593    18 16
582   200.14853 471.0125    8 16
583   801.00745 813.641    2 16
584   1700.8766 763.9076    101 80
585   1149.2493 186.24863    14 16
586   856.21106 704.9424    8 16
587   653.177 2282.0737    6 16
588   885.35 429.56543    8 16
589   866.8972 1059.6715    2 16
590   289.51334 322.67786    6 16
591   810.48566 584.11554    4 16
592   210.50258 1466.0923    14 16
593   430.9494 2063.3071    6 16
594   529.3612 856.7489    2 16
595   790.75476 1418.255    8 16
596   740.47766 47.856464    12 16
597   767.9537 482.49786    14 16
598   279.62695 685.3445    6 16
599   1482.0742 1283.8187    42 16
600   40.411873 591.69775    12 16
601   240.39944 340.91693    4 16
602   154.65958 1137.875    2 16
603   223.76416 548.61316    6 16
604   54.131584 -4.6443996    2 16
605   175.86365 408.45233    4 16
606   444.84375 1531.7046    2 16
607   376.29498 1137.3057    6 16
608   134.17712 261.44586    12 16
609   784.8069 2251.3335    14 16
610   375.784 1005.5314    14 16
611   388.2138 775.077    2 16
612   402.6948 30.130447    14 16
613   331.89017 2159.1807    8 16
614   809.91345 1491.722    12 16
615   766.74805 860.516    8 16
616   20.672176 98.85947    4 16
617   189.25998 1219.582    12 16
618   632.222 269.6413    6 16
619   252.30273 886.40515    8 16
620   728.4271 745.67035    6 16
621   51.08914 1134.275    14 16
622   708.66797 593.7554    6 16
623   747.5364 605.6974    8 16
624   338.9812 164.40826    14 16
625   827.5768 755.81006    8 16
626   1364.2853 163.96213    84 96
627   1107.1667 2080.4858    42 16
628   384.61148 913.62134    20 16
629   208.87225 556.6754    8 16
630   994.63464 418.22974    24 16
631   580.2034 1143.868    2 16
632   707.5029 1514.0632    6 16
633   686.30286 1420.3352    4 16
634   2.4825869 1054.6958    8 16
635   326.21838 162.14133    6 16
636   348.9039 950.0537    8 16
637   110.376976 809.0657    8 16
638   852.1971 586.2097    8 16
639   172.06061 1636.0988    6 16
640   567.9011 323.52734    2 16
641   560.68225 1539.979    6 16
642   808.5826 1466.2876    8 16
643   650.1381 2236.918    14 16
644   661.4939 588.97095    14 16
645   241.82541 1288.5902    12 16
646   454.8026 1334.1476    14 16
647   771.90094 456.7692    6 16
648   141.53513 334.53122    4 16
649   43.146347 830.03577    6 16
650   345.73743 2268.3247    12 16
651   539.76874 1117.4938    26 16
652   204.03555 258.06976    8 16
653   68.436035 54.63788    2 16
654   -1.3365765 418.0298    28 16
655   318.05432 281.82816    4 16
656   186.2673 1423.0452    2 16
657   543.4574 337.78534    14 16
658   819.4027 2004.7898    16 16
659   428.43024 334.35852    16 16
660   223.86194 932.0862    6 16
661   1033.4454 1158.0925    4 16
662   757.281 1247.6863    6 16
663   781.96313 1052.6187    6 16
664   159.07108 1070.229    14 16
665   350.21173 181.93912    2 16
666   749.6121 1511.8954    10 16
667   52.946808 251.068    8 16
668   1646.8082 949.17615    24 16
669   704.2268 499.19574    8 16
670   313.7679 2266.8901    14 16
671   714.5001 1101.2854    16 16
672   808.3475 1522.1118    12 16
673   34.4013 1151.5042    14 16
674   830.3025 2284.9712    6 16
675   178.20024 1414.6919    20 16
676   100.25578 1412.0925    16 16
677   707.3885 2196.9543    16 16
678   1076.793 1165.2632    6 16
679   560.37964 216.43127    8 16
680   642.06604 233.60321    4 16
681   213.94302 95.88481    18 16
682   615.26355 2265.8262    6 16
683   137.55196 1339.5858    14 16
684   301.51407 1459.333    2 16
685   829.65015 2211.955    6 16
686   629.50867 1426.9727    14 16
687   683.57214 481.57727    12 16
688   705.55115 1458.2927    6 16
689   650.58264 1278.4225    14 16
690   1356.0645 697.9056    24 16
691   141.21622 1440.1212    2 16
692   385.71906 1339.5105    16 16
693   162.05295 380.64777    4 16
694   216.23099 916.3636    6 16
695   554.5674 1182.7977    4 16
696   381.40073 1023.87476    8 16
697   774.3644 572.4697    14 16
698   550.4927 2265.0742    14 16
699   1710.1704 551.57074    6 16
700   645.22253 1558.6321    6 16
701   15.705528 365.88513    12 16
702   464.39362 2215.0825    14 16
703   826.3875 103.44188    8 16
704   385.85443 1663.603    14 16
705   1728.836 1234.0979    101 80
706   431.82446 221.84225    4 16
707   41.122654 692.22375    8 16
708   77.685104 1278.1906    4 16
709   697.97064 572.77765    18 16
710   326.7448 265.2038    8 16
711   873.1611 1123.3376    26 16
712   51.16148 1023.4531    2 16
713   1069.2854 507.63898    42 16
714   52.989124 634.03705    4 16
715   727.9056 764.54785    2 16
716   209.33449 704.39636    8 16
717   182.7102 2020.009    8 16
718   640.44006 1660.1694    8 16
719   106.13514 553.60754    6 16
720   175.07513 455.4959    12 16
721   480.32172 2120.37    2 16
722   563.11194 268.83008    14 16
723   218.71442 421.3806    6 16
724   812.0128 1109.3336    6 16
725   148.13884 484.60587    4 16
726   1082.5398 603.6956    24 16
727   1139.4897 1518.0986    42 16
728   738.67114 2199.6045    6 16
729   563.24335 133.34486    8 16
730   398.11945 256.28342    4 16
731   624.50867 1436.706    24 16
732   752.08716 677.4202    6 16
733   705.642 1269.2896    2 16
734   146.23276 298.94437    4 16
735   163.94017 1187.4299    12 16
736   157.17494 898.5349    4 16
737   255.02924 195.2863    6 16
738   687.4131 1567.6606    8 16
739   290.3781 845.4886    6 16
740   514.2864 1331.2562    14 16
741   407.56815 1005.5314    8 16
742   105.77781 1361.1797    16 16
743   104.43323 173.94766    24 16
744   57.34628 95.86246    6 16
745   683.00366 1259.1055    8 16
746   458.112 1644.6234    16 16
747   440.17963 2065.5967    8 16
748   580.8001 1635.6948    2 16
749   934.3613 907.6942    101 80
750   236.69495 550.5003    12 16
751   648.7374 2067.565    6 16
752   1174.7185 2039.5719    16 16
753   203.04283 508.71454    2 16
754   515.65967 404.1756    14 16
755   392.75336 1604.1838    2 16
756   792.0636 675.34106    4 16
757   429.10455 1227.3408    14 16
758   573.286 553.8718    8 16
759   677.0928 8.626646    18 16
760   331.74243 1611.8583    16 16
761   816.58405 2128.0159    8 16
762   989.7457 359.94806    42 16
763   855.68616 2224.3127    4 16
764   36.189312 125.42557    2 16
765   190.09854 1654.4392    2 16
766   668.82605 1547.5273    8 16
767   203.40547 1368.522    12 16
768   446.16998 151.08247    10 16
769   644.9449 1164.1646    2 16
770   454.5849 668.9643    14 16
771   651.58655 106.13942    6 16
772   807.2437 1020.2494    14 16
773   661.6958 8.626646    18 16
774   704.1666 1038.696    6 16
775   701.13995 1528.8474    8 16
776   147.39984 779.70074    4 16
777   341.89545 323.5448    6 16
778   636.2041 1146.0121    2 16
779   707.6776 534.713    6 16
780   850.8989 464.5794    14 16
781   389.18774 468.39117    16 16
782   112.87553 103.55638    24 16
783   1743.0481 332.30945    72 112
784   841.1316 151.06378    6 16
785   371.1136 1061.4751    6 16
786   155.45709 982.8888    20 16
787   548.60297 2156.9558    14 16
788   353.21008 273.21747    24 16
789   733.82446 433.39148    14 16
790   867.6322 46.576103    4 16
791   1176.7549 1535.8208    24 16
792   422.3045 170.31897    4 16
793   298.84064 218.49873    6 16
794   814.00757 820.6155    2 16
795   1141.0634 169.14609    14 16
796   501.36554 335.0658    16 16
797   742.33875 448.7614    14 16
798   227.77966 367.7019    8 16
799   592.4382 337.6253    14 16
800   735.8318 2287.0222    6 16
801   882.5006 13.669924    8 16
802   586.6963 1606.3782    2 16
803   830.30914 1564.5516    6 16
804   734.0774 1215.3422    8 16
805   1013.4304 685.1053    42 16
806   474.9828 165.1705    10 16
807   1606.3727 1828.8469    24 16
808   320.08148 1412.2175    14 16
809   360.44 882.23    14 16
810   827.17505 -5.161145    2 16
811   27.606651 673.76294    8 16
812   412.8989 1611.9038    8 16
813   326.91687 869.0609    14 16
814   882.9421 596.995    8 16
815   1494.3694 1581.1843    24 16
816   499.41852 1229.2534    14 16
817   303.2433 666.99805    14 16
818   847.4578 2021.103    14 16
819   180.1908 94.57762    4 16
820   567.43054 1099.654    26 16
821   462.65674 154.64151    4 16
822   437.52362 2079.817    28 16
823   118.77013 1681.0305    16 16
824   413.69165 975.9427    12 16
825   792.20886 1027.4105    14 16
826   -0.88883066 226.42891    10 16
827   321.02032 220.67914    2 16
828   394.92352 246.56842    6 16
829   1619.8538 1475.3777    14 16
830   409.01202 213.56265    12 16
831   67.531456 850.2368    4 16
832   102.04831 2167.9917    14 16
833   16.963543 1335.4391    4 16
834   657.1481 970.95703    6 16
835   13.578014 949.28827    8 16
836   738.6609 1580.8265    8 16
837   439.25964 687.0397    8 16
838   1291.2373 774.7599    72 112
839   852.91656 996.00024    6 16
840   668.27997 773.8519    14 16
841   175.76218 1681.0305    14 16
842   174.12173 99.85885    2 16
843   781.85974 180.19958    8 16
844   3.3761368 649.09686    12 16
845   97.43127 622.9271    6 16
846   399.68704 554.161    16 16
847   796.43146 586.5513    6 16
848   768.9233 944.1124    6 16
849   107.118 611.56396    28 16
850   50.302284 264.4715    8 16
851   1075.6696 488.61536    4 16
852   231.91238 431.61884    4 16
853   455.76724 2121.329    14 16
854   79.4193 279.39813    10 16
855   809.66565 64.03473    16 16
856   1704.0996 1484.6663    101 80
857   396.1885 935.2224    4 16
858   55.75326 509.50208    4 16
859   745.9554 1379.7688    6 16
860   280.39008 840.59314    8 16
861   193.85973 501.90643    8 16
862   699.95984 1227.1731    6 16
863   695.9596 1603.2382    2 16
864   24.364075 400.57175    20 16
865   641.6444 1216.36    8 16
866   142.90463 1459.9595    16 16
867   716.66626 1660.7122    8 16
868   1458.4402 1763.2361    12 16
869   543.8136 848.3134    8 16
870   510.0871 485.923    4 16
871   750.3491 2250.441    6 16
872   603.2008 1105.1621    2 16
873   264.78833 1155.2183    20 16
874   765.7798 14.946339    16 16
875   597.4238 2087.716    6 16
876   696.85596 652.5188    4 16
877   155.61589 730.4448    6 16
878   1662.374 990.41956    24 16
879   629.04065 2135.0012    6 16
880   30.971909 615.1449    8 16
881   58.844467 815.46893    14 16
882   562.52924 540.5228    6 16
883   658.7634 1385.2441    8 16
884   591.24866 2054.4678    2 16
885   776.125 1562.3    6 16
886   1245.6555 800.0469    42 16
887   580.772 2041.4912    6 16
888   746.8479 79.966    6 16
889   1224.0698 1276.2261    24 16
890   701.8124 1321.7716    4 16
891   418.64566 67.509445    8 16
892   698.3835 428.51166    6 16
893   1440.2476 1622.6372    4 16
894   467.47345 132.10095    4 16
895   667.4407 1183.8315    8 16
896   753.7572 464.93546    8 16
897   25.847275 921.07117    4 16
898   652.1163 1100.5848    16 16
899   344.51825 1559.9014    16 16
900   826.98975 1609.6022    8 16
901   474.55344 1510.104    8 16
902   241.35863 2138.9087    4 16
903   193.10541 1456.1425    2 16
904   317.55383 1275.7411    2 16
905   675.44995 1597.0813    8 16
906   1657.3267 539.8722    24 16
907   683.0691 1631.8644    14 16
908   777.3478 1610.5104    2 16
909   598.61707 1139.5908    2 16
910   811.7942 164.6329    14 16
911   697.2003 763.28156    14 16
912   306.36115 1628.9983    12 16
913   54.63017 605.2391    8 16
914   543.83386 1384.6647    14 16
915   69.13773 436.02347    8 16
916   178.21292 536.7479    6 16
917   200.06822 622.9252    2 16
918   551.46106 1032.458    4 16
919   685.58203 718.7301    8 16
920   628.6125 1630.3809    8 16
921   753.9481 1483.9269    6 16
922   120.4989 297.5431    8 16
923   1193.4204 1588.7859    12 16
924   473.949 785.80835    8 16
925   519.9708 1571.9856    8 16
926   313.68228 220.67914    2 16
927   237.96977 2058.1772    4 16
928   428.68103 267.30457    16 16
929   500.6373 404.5789    14 16
930   885.9349 2105.3667    6 16
931   138.20767 79.069466    22 16
932   373.8828 594.1122    6 16
933   1493.0966 1623.1238    72 112
934   380.40698 186.13293    6 16
935   510.60852 1648.5864    4 16
936   87.61888 1378.708    14 16
937   607.6157 390.7008    6 16
938   689.852 1399.333    8 16
939   173.7779 624.24255    6 16
940   577.3015 41.764313    8 16
941   574.66235 66.06038    6 16
942   352.8429 398.8591    24 16
943   398.8429 1612.7405    16 16
944   1190.0664 1351.5225    84 96
945   134.62897 1022.6658    6 16
946   566.31067 904.02637    12 16
947   745.85693 573.405    14 16
948   721.275 1459.5925    6 16
949   703.40204 2063.0217    14 16
950   632.2796 46.30539    14 16
951   229.64755 1364.2869    6 16
952   41.111702 286.5686    6 16
953   428.04547 2073.8462    4 16
954   890.6544 2025.8713    2 16
955   418.0351 1129.0511    8 16
956   362.7964 1630.9482    10 16
957   79.93027 781.4259    14 16
958   544.69336 149.15799    8 16
959   879.19055 214.98485    14 16
960   1597.5151 1141.7825    24 16
961   456.86957 1246.7538    14 16
962   726.85455 1529.0625    4 16
963   874.7757 2053.189    2 16
964   312.45926 202.14566    2 16
965   493.8207 2131.1064    16 16
966   610.6692 250.50647    10 16
967   629.6184 2087.2197    2 16
968   394.59424 1479.6443    14 16
969   699.9134 935.01794    6 16
970   91.91412 959.4582    8 16
971   118.88153 1579.8187    14 16
972   809.1151 376.50232    14 16
973   186.35437 1628.3086    16 16
974   409.38177 2100.7788    14 16
975   757.49084 1150.8574    14 16
976   834.7754 652.5396    10 16
977   556.07477 1687.1708    2 16
978   537.49976 1645.8408    8 16
979   359.46732 1444.5479    16 16
980   561.7206 229.21336    8 16
981   545.4386 915.4829    4 16
982   624.7336 263.53662    6 16
983   670.23376 785.2672    8 16
984   684.9019 2196.9543    16 16
985   7.4817724 1316.0334    4 16
986   314.96356 1480.5923    2 16
987   746.1584 745.67035    8 16
988   187.201 501.90643    8 16
989   191.07062 758.0625    4 16
990   781.93445 1648.4299    10 16
991   677.6031 887.1631    6 16
992   2.4460936 587.354    8 16
993   679.2201 1549.7512    4 16
994   622.1088 387.7282    12 16
995   879.5006 65.436966    14 16
996   693.2759 1452.1436    8 16
997   158.06638 33.513466    4 16
998   205.3085 845.20483    6 16
999   688.1603 955.0864    6 16
1000   310.96405 1275.7411    2 16
1001   423.04547 2100.7788    14 16
1002   521.8106 351.8686    8 16
1003   841.1686 218.49445    8 16
1004   636.4175 1579.1317    8 16
1005   1041.7842 618.5707    18 16
1006   427.54578 1366.4915    14 16
1007   393.04803 698.53577    6 16
1008   104.88197 650.4259    16 16
1009   625.2589 1278.4392    8 16
1010   718.6611 1999.3105    14 16
1011   374.42273 1023.87476    8 16
1012   228.92209 1497.7087    16 16
1013   292.17303 1393.1152    4 16
1014   1399.6084 2065.6748    16 16
1015   389.75702 948.8905    14 16
1016   669.17566 463.21112    16 16
1017   40.03755 921.07117    8 16
1018   646.5989 1673.2411    22 16
1019   622.3786 216.0072    6 16
1020   232.19662 1629.9307    2 16
1021   367.01874 219.28159    4 16
1022   756.7572 453.26938    2 16
1023   818.9425 1547.5353    14 16
1024   55.06584 740.87244    12 16
1025   881.22687 2235.4546    6 16
1026   635.5559 2269.7856    6 16
1027   816.9243 758.5447    2 16
1028   159.8515 1240.0295    12 16
1029   551.3174 1411.479    4 16
1030   759.1437 1055.8401    12 16
1031   67.145996 1332.8242    2 16
1032   731.0327 305.55057    8 16
1033   515.0564 567.4009    4 16
1034   225.88647 2094.1392    14 16
1035   223.93951 905.02496    8 16
1036   517.8876 1522.8037    8 16
1037   496.01044 633.15    14 16
1038   770.25006 2244.0093    6 16
1039   765.03345 279.1383    2 16
1040   69.09683 108.36449    12 16
1041   625.35425 94.72548    8 16
1042   778.593 549.3291    8 16
1043   359.20837 2115.7996    14 16
1044   358.21082 1269.8604    12 16
1045   419.20795 265.4389    8 16
1046   739.3599 267.26758    2 16
1047   236.60074 666.58374    8 16
1048   495.32727 223.97726    2 16
1049   837.1185 2155.8662    2 16
1050   80.188934 1033.7925    12 16
1051   810.8883 2269.531    14 16
1052   53.25734 1043.26    10 16
1053   322.62775 897.89276    14 16
1054   288.36304 182.95174    8 16
1055   835.34424 717.4286    2 16
1056   743.6212 1246.1102    12 16
1057   823.12897 2233.6506    14 16
1058   197.2963 1155.2922    20 16
1059   182.48239 1014.33435    12 16
1060   434.28455 351.61584    8 16
1061   314.79984 2290.6094    6 16
1062   50.099575 1311.8059    2 16
1063   551.1876 494.07513    4 16
1064   674.282 491.8294    6 16
1065   294.25 375.119    4 16
1066   434.09003 467.9544    18 16
1067   28.216492 1064.4141    8 16
1068   756.90375 1570.495    2 16
1069   658.55554 1309.848    2 16
1070   369.72928 2099.0015    8 16
1071   1617.0566 1208.5055    12 16
1072   662.32886 2140.4297    6 16
1073   564.891 1411.3267    4 16
1074   155.90152 1347.0547    12 16
1075   706.9831 2232.2466    14 16
1076   1167.8582 221.05139    24 16
1077   502.14008 1160.5452    14 16
1078   683.2412 995.5238    12 16
1079   28.662302 1005.4085    6 16
1080   282.88464 237.44107    2 16
1081   -1.5586815 517.83435    16 16
1082   526.16736 828.7337    20 16
1083   300.86072 281.82816    6 16
1084   21.364464 1259.106    16 16
1085   160.01013 1128.6245    14 16
1086   398.53558 764.82556    30 16
1087   549.9634 645.2307    14 16
1088   487.90848 1557.8958    8 16
