# Legalization file
2360 148   0.0 0.0     1.0 16.0
1376   866.68097 699.9862    8 16
1377   1575.8116 1921.3755    14 16
1378   66.68916 450.52295    12 16
1379   972.4835 829.843    14 16
1380   1777.073 1834.421    2 16
1381   1207.9869 262.29272    14 16
1382   1160.5315 1479.3718    6 16
1383   416.76392 245.2265    6 16
1384   468.30536 78.154274    12 16
1385   942.8911 599.5646    14 16
1386   1287.2755 98.397125    8 16
1387   1168.4469 1881.6127    8 16
1388   197.89474 2329.1958    6 16
1389   1265.944 781.08203    8 16
1390   1543.7886 754.0157    6 16
1391   935.5863 1821.3905    8 16
1392   196.46063 1817.4882    14 16
1393   145.7229 131.2809    12 16
1394   659.82007 830.7007    14 16
1395   1735.1492 111.52182    14 16
1396   1691.7333 408.90643    14 16
1397   1695.7423 1031.2183    14 16
1398   823.69543 1710.3712    8 16
1399   73.33083 1244.4158    18 16
1400   1403.648 1650.2983    8 16
1401   689.6065 1403.45    10 16
1402   128.49615 2300.536    14 16
1403   257.05963 1146.2129    14 16
1404   70.09725 2282.7114    12 16
1405   1413.3845 513.47235    6 16
1406   300.88132 259.58548    14 16
1407   194.18558 101.692    6 16
1408   215.72198 280.22717    12 16
1409   159.56122 1385.242    8 16
1410   1325.8274 738.422    8 16
1411   1020.6096 395.35596    8 16
1412   1180.3691 1389.7803    6 16
1413   320.7008 1902.0107    6 16
1414   1470.8733 1602.3179    14 16
1415   216.32932 738.88794    12 16
1416   1213.1161 1284.6721    8 16
1417   1743.6533 93.93831    6 16
1418   264.5545 535.16235    8 16
1419   1682.1475 1303.2211    8 16
1420   339.15173 2166.2563    12 16
1421   1667.4968 865.73145    8 16
1422   115.46031 2095.2285    14 16
1423   219.88617 912.115    6 16
1424   737.3076 515.74786    12 16
1425   761.56506 370.95502    12 16
1426   117.68329 664.09546    6 16
1427   1672.2214 1067.7126    8 16
1428   146.24028 281.26382    6 16
1429   202.90955 766.9714    6 16
1430   1711.6753 1013.838    8 16
1431   1197.9749 1324.184    2 16
1432   1225.8792 89.481964    8 16
1433   898.7096 98.71536    8 16
1434   1604.9331 2084.6987    2 16
1435   513.9716 1833.8755    14 16
1436   42.105095 1938.4038    6 16
1437   950.6854 1068.6301    14 16
1438   764.50574 66.629684    12 16
1439   1176.9768 381.48828    8 16
1440   349.40582 689.9889    2 16
1441   51.352386 1919.738    6 16
1442   1527.1157 1727.1599    8 16
1443   1740.9496 1161.9186    8 16
1444   310.99316 675.2374    14 16
1445   543.4567 240.57593    8 16
1446   1723.3254 1924.0662    2 16
1447   1714.5693 1583.7415    8 16
1448   1880.928 889.8367    6 16
1449   915.21124 599.23645    14 16
1450   1648.3533 1194.6484    14 16
1451   333.33804 1519.8403    14 16
1452   1685.0896 776.81616    8 16
1453   1137.3174 1179.6123    8 16
1454   775.415 1684.0349    6 16
1455   1869.8469 1666.5419    14 16
1456   843.1477 12.70537    14 16
1457   464.1093 1667.3551    6 16
1458   425.0998 762.41235    8 16
1459   1304.5569 1105.0109    8 16
1460   599.02856 569.8186    12 16
1461   1124.9135 686.4193    14 16
1462   1110.0208 1881.4907    8 16
1463   269.79224 1398.1523    6 16
1464   1304.981 1730.137    2 16
1465   66.53401 1669.3882    8 16
1466   1452.6392 2106.4478    14 16
1467   1387.0112 2246.8767    18 16
1468   77.492584 2059.9048    14 16
1469   1832.7026 2085.1948    8 16
1470   933.0606 1067.8508    8 16
1471   640.3362 2126.1309    14 16
1472   892.8357 1881.7725    8 16
1473   660.78 1586.0109    6 16
1474   1419.3374 1350.0172    14 16
1475   579.2822 1839.2698    14 16
1476   1411.5806 176.12694    8 16
1477   1413.5201 1252.1228    6 16
1478   1072.1427 581.32043    8 16
1479   804.792 1675.9436    18 16
1480   1625.4489 568.06647    6 16
1481   571.34705 1700.822    8 16
1482   159.50768 -3.4800434    8 16
1483   1267.0747 334.88257    8 16
1484   1662.1744 1349.8647    14 16
1485   1865.1123 1018.7628    14 16
1486   1182.5458 1348.1497    6 16
1487   1288.0765 1519.1677    6 16
1488   790.8368 2319.8237    6 16
1489   704.74884 615.9751    12 16
1490   252.98169 1982.4531    12 16
1491   1420.8291 914.739    6 16
1492   66.884995 2042.3921    8 16
1493   277.5653 324.5346    6 16
1494   834.4381 531.00024    8 16
1495   853.43475 1912.3896    6 16
1496   445.41333 837.3657    8 16
1497   1869.1648 1971.9851    14 16
1498   1608.2776 1211.3586    8 16
1499   1486.256 428.18896    14 16
1500   1555.279 1332.1465    14 16
1501   502.7003 326.7607    14 16
1502   477.85516 1684.0691    6 16
1503   1812.3083 1696.7896    18 16
1504   160.48846 1874.4751    12 16
1505   1482.6473 1958.521    14 16
1506   964.156 471.8971    8 16
1507   478.94073 1541.154    8 16
1508   568.5335 2096.5518    14 16
1509   1100.3518 68.23151    8 16
1510   978.0693 1427.426    14 16
1511   754.9956 1179.9004    14 16
1512   719.9089 776.20245    12 16
1513   1661.6577 1618.6555    14 16
1514   179.65533 1897.4645    12 16
1515   74.22949 1876.8679    12 16
1516   416.7227 2332.1826    8 16
1517   1134.742 1259.5787    12 16
1518   1761.4734 1451.7373    14 16
1519   968.7954 127.26428    8 16
1520   1076.2925 805.1893    14 16
1521   10.777528 2262.9014    6 16
1522   527.4551 2303.8027    8 16
1523   1474.2195 1707.781    2 16
1524   1410.1605 835.4847    8 16
1525   44.40078 479.33606    8 16
1526   702.76746 885.8596    10 16
1527   1865.0979 471.1466    8 16
1528   1692.7292 1714.9739    14 16
1529   415.42484 1209.1797    2 16
1530   819.30554 257.2262    14 16
1531   1159.6473 731.2959    14 16
1532   395.6137 1547.4728    12 16
1533   1749.9259 797.15265    18 16
1534   269.424 608.33936    8 16
1535   1873.3533 162.78635    8 16
1536   1284.3098 280.6715    8 16
1537   1762.3948 425.16553    8 16
1538   586.8871 2059.3604    10 16
1539   1434.6367 297.17584    8 16
1540   192.55038 2091.1924    14 16
1541   271.11993 766.2124    8 16
1542   487.24792 1306.3324    14 16
1543   1565.8223 1813.7587    8 16
1544   456.4452 767.2678    12 16
1545   1504.1104 1043.4751    6 16
1546   1560.5486 47.542778    14 16
1547   733.678 392.8317    6 16
1548   331.1033 516.3328    12 16
1549   1271.3143 1896.6399    18 16
1550   751.53925 2234.9878    12 16
1551   1471.8132 908.21704    6 16
1552   1202.6951 1184.7644    8 16
1553   1722.9775 2134.9307    8 16
1554   1426.8708 1897.9692    8 16
1555   1032.784 1592.1426    14 16
1556   1543.7886 771.57104    6 16
1557   1147.8164 2160.25    14 16
1558   639.29724 1602.3586    10 16
1559   1535.1548 601.642    6 16
1560   455.25134 882.6003    12 16
1561   852.81573 1864.4248    8 16
1562   373.46597 2027.1978    12 16
1563   1193.865 334.9138    6 16
1564   243.79237 386.81628    12 16
1565   1848.6824 1967.0452    8 16
1566   867.69977 385.94714    8 16
1567   1675.5193 649.52515    18 16
1568   851.24915 1491.1855    6 16
1569   1683.4087 1325.1212    8 16
1570   735.8194 457.04626    10 16
1571   1666.9329 1222.492    8 16
1572   301.90884 967.48254    12 16
1573   606.59424 203.20808    2 16
1574   197.69609 83.76907    6 16
1575   187.16975 1283.883    4 16
1576   1160.6836 1345.104    14 16
1577   246.35556 1466.8474    6 16
1578   1872.962 284.93198    14 16
1579   261.88245 902.80884    6 16
1580   1406.9597 787.1604    8 16
1581   1793.8951 758.2186    14 16
1582   1497.0237 2335.901    14 16
1583   1698.638 2103.0405    8 16
1584   459.27063 1722.3079    8 16
1585   1247.1681 678.87573    8 16
1586   272.85757 1938.1968    8 16
1587   1095.8555 778.5956    8 16
1588   272.01538 697.35754    12 16
1589   903.0001 2237.1404    14 16
1590   778.9898 1861.5299    8 16
1591   244.70639 505.44427    8 16
1592   356.85254 1511.404    8 16
1593   432.5808 1067.8525    6 16
1594   567.46924 2035.2832    18 16
1595   184.4977 1931.1215    14 16
1596   1511.2628 158.3425    14 16
1597   1270.3928 1664.1519    14 16
1598   1853.301 284.93198    8 16
1599   535.2803 1195.7595    14 16
1600   973.4987 667.3295    14 16
1601   794.9414 1641.27    6 16
1602   1468.0554 585.8562    6 16
1603   694.35767 1770.7046    14 16
1604   950.0574 52.129086    8 16
1605   1540.2256 1029.7477    6 16
1606   667.77704 2169.4626    14 16
1607   473.81113 947.2517    12 16
1608   1463.5798 1031.2079    14 16
1609   1714.619 1492.2124    8 16
1610   1815.1023 2181.8435    4 16
1611   266.49292 1241.2214    6 16
1612   974.1051 1230.4436    2 16
1613   1211.456 180.1902    2 16
1614   1002.07446 699.5971    14 16
1615   1175.4924 248.43008    14 16
1616   660.3207 1539.1809    4 16
1617   1678.3177 1990.6802    8 16
1618   315.18622 -0.6282873    14 16
1619   1734.5913 11.1046295    8 16
1620   617.9313 625.2751    12 16
1621   54.83896 949.7709    12 16
1622   687.3668 660.6919    12 16
1623   747.09766 732.93884    8 16
1624   133.16058 598.6264    6 16
1625   892.2793 1347.2539    18 16
1626   47.73511 1086.5267    14 16
1627   166.34076 963.52356    8 16
1628   1191.6897 322.8695    14 16
1629   881.9331 405.8968    6 16
1630   571.87024 1006.1964    14 16
1631   1143.2073 945.5825    6 16
1632   304.37268 2177.1138    14 16
1633   1236.3203 1560.403    6 16
1634   933.78546 959.8246    8 16
1635   1559.5646 2333.7368    14 16
1636   1306.2153 1388.7593    6 16
1637   1128.9844 1014.33466    8 16
1638   1307.3328 1263.3666    8 16
1639   1605.5717 0.16999054    14 16
1640   559.7948 293.7707    6 16
1641   178.27673 2245.6138    6 16
1642   698.255 1430.2954    18 16
1643   79.388 534.4614    8 16
1644   41.808823 641.5088    8 16
1645   902.2602 114.59183    14 16
1646   442.97433 567.2677    12 16
1647   659.8707 2057.5396    10 16
1648   1159.2722 1085.6901    2 16
1649   1449.5542 334.9241    14 16
1650   1340.3899 2339.9382    18 16
1651   196.46063 1797.7188    14 16
1652   142.46825 257.49872    14 16
1653   1031.887 831.4711    8 16
1654   1235.3331 134.35709    2 16
1655   412.29633 1162.9119    14 16
1656   686.12427 1609.6458    12 16
1657   385.94748 610.42676    8 16
1658   1372.6868 1742.9143    8 16
1659   355.2918 722.9744    12 16
1660   1749.1968 2134.2217    8 16
1661   703.5261 1930.703    6 16
1662   282.60214 637.13196    12 16
1663   1024.7168 1675.5156    8 16
1664   360.778 103.809586    12 16
1665   1077.3416 474.30972    14 16
1666   1045.252 1630.3435    8 16
1667   841.13367 443.63873    8 16
1668   1550.2471 432.47623    8 16
1669   1840.9244 1709.2155    2 16
1670   453.5287 493.20645    14 16
1671   333.83508 44.721176    6 16
1672   1435.6667 1259.0037    14 16
1673   1013.21204 200.45512    6 16
1674   1376.6685 703.9468    14 16
1675   1609.5973 848.9303    14 16
1676   1063.1682 2156.3237    14 16
1677   414.34113 2183.963    8 16
1678   547.35187 1830.2216    6 16
1679   1229.9425 2141.7175    8 16
1680   1141.9076 157.07481    14 16
1681   1414.5488 231.82767    2 16
1682   891.859 310.5722    8 16
1683   577.96313 1185.5161    20 16
1684   767.6604 284.57877    6 16
1685   1826.7283 -1.727529    8 16
1686   1032.783 1648.9304    14 16
1687   882.26086 1815.5203    6 16
1688   470.72705 1556.7378    8 16
1689   311.6099 208.59985    14 16
1690   1878.7988 1902.4805    6 16
1691   1824.177 2231.8325    8 16
1692   400.71463 1287.8801    6 16
1693   173.82516 1406.4131    8 16
1694   902.2748 675.4643    14 16
1695   1250.9333 2331.9978    8 16
1696   1800.571 2350.5159    14 16
1697   1565.4537 599.7688    8 16
1698   1126.7351 261.204    14 16
1699   490.4806 204.7182    8 16
1700   763.4984 96.80949    12 16
1701   1642.2239 300.53098    8 16
1702   619.7987 80.72925    6 16
1703   1442.0476 761.0321    6 16
1704   23.337448 206.90437    14 16
1705   1130.2567 250.01144    8 16
1706   1079.147 11.277292    14 16
1707   48.646523 1205.9895    18 16
1708   476.20355 204.7182    14 16
1709   1517.1931 90.76187    8 16
1710   653.50104 1920.4265    14 16
1711   1394.9419 151.68521    2 16
1712   1862.8425 266.63858    8 16
1713   1159.4216 299.16553    14 16
1714   694.9801 2216.9392    6 16
1715   1557.7366 1134.1974    8 16
1716   92.64958 482.8799    12 16
1717   742.6454 950.6915    14 16
1718   147.87085 1616.0956    6 16
1719   390.04773 1770.6667    14 16
1720   63.334198 925.7318    12 16
1721   803.50745 1467.3071    6 16
1722   1237.3728 563.4606    8 16
1723   472.68417 165.29471    12 16
1724   1502.5298 1573.3274    14 16
1725   244.57623 620.48083    14 16
1726   1461.5415 371.91455    8 16
1727   1228.8325 632.6379    14 16
1728   1275.054 1819.6814    8 16
1729   1608.0935 1533.438    14 16
1730   379.92957 1337.265    6 16
1731   427.29932 1147.2058    14 16
1732   1313.4106 728.29517    8 16
1733   1583.7538 257.97858    14 16
1734   292.08032 1449.9658    10 16
1735   115.20935 34.082355    14 16
1736   725.67896 1227.1569    14 16
1737   717.53125 -0.27636385    14 16
1738   1367.1953 1164.5953    6 16
1739   104.71564 220.2649    14 16
1740   474.84085 1574.7803    8 16
1741   1860.6659 1680.2424    14 16
1742   1497.0237 2351.967    14 16
1743   902.62524 2286.9824    14 16
1744   1803.9695 2129.2793    8 16
1745   865.59546 1948.55    6 16
1746   1172.4285 30.067276    8 16
1747   312.17487 1232.3164    6 16
1748   103.2578 518.5116    12 16
1749   1083.7655 944.10675    6 16
1750   1134.9109 1084.6443    8 16
1751   863.58716 1879.8452    6 16
1752   419.54346 480.5292    8 16
1753   892.3849 60.6933    8 16
1754   1346.1082 724.6885    8 16
1755   808.15234 1960.0696    2 16
1756   1244.1681 701.6587    14 16
1757   782.43115 1486.4099    18 16
1758   157.95514 1934.6069    12 16
1759   327.86856 601.7146    6 16
1760   1427.1702 972.28625    10 16
1761   218.33385 1696.4006    6 16
1762   604.6603 731.4775    12 16
1763   995.3428 2318.3508    20 16
1764   1587.4121 1292.451    8 16
1765   1266.5078 319.81854    8 16
1766   973.8258 1548.4341    18 16
1767   1845.0535 1345.3156    8 16
1768   1063.5581 75.390396    8 16
1769   655.9381 132.87009    14 16
1770   1111.958 1035.1274    14 16
1771   829.2134 361.76917    4 16
1772   1097.7781 930.48114    8 16
1773   294.52826 1347.3011    6 16
1774   307.39844 315.28857    4 16
1775   95.23062 846.38544    8 16
1776   1311.9629 1011.48535    14 16
1777   1698.7423 1022.8884    8 16
1778   1694.0242 877.3746    14 16
1779   1256.6979 1479.859    2 16
1780   643.26025 1179.3536    8 16
1781   597.5066 119.86024    6 16
1782   966.54987 777.4949    8 16
1783   1865.1738 1845.4739    8 16
1784   721.192 65.041275    12 16
1785   1475.6704 1744.0161    2 16
1786   479.15744 1777.5405    6 16
1787   689.763 1132.981    2 16
1788   402.93225 1385.9839    6 16
1789   248.65309 456.86572    6 16
1790   1550.5364 2098.669    2 16
1791   1381.1189 1772.3591    6 16
1792   1085.7815 910.756    8 16
1793   1009.5811 24.283962    8 16
1794   1181.2179 755.7854    14 16
1795   507.78262 679.8456    8 16
1796   952.63715 2139.7236    18 16
1797   172.70483 830.67017    14 16
1798   1591.769 393.4787    14 16
1799   101.03111 1245.883    10 16
1800   1647.4747 717.06964    18 16
1801   306.9182 544.65796    8 16
1802   974.5386 1913.3198    18 16
1803   1071.749 513.6625    8 16
1804   1577.4751 1458.7827    14 16
1805   817.42896 2287.6099    8 16
1806   764.25665 393.22797    12 16
1807   1648.7805 997.69666    14 16
1808   1332.7163 1847.2136    2 16
1809   492.04706 2145.2373    14 16
1810   1707.4619 707.5148    14 16
1811   578.14124 251.07529    8 16
1812   1319.552 391.88464    6 16
1813   837.0166 1031.9987    14 16
1814   1176.5005 891.26917    14 16
1815   32.936123 360.9862    8 16
1816   242.02864 1179.7385    6 16
1817   842.3396 2289.8057    12 16
1818   1285.9094 2316.504    18 16
1819   1655.9832 1392.504    2 16
1820   293.1433 1783.9651    12 16
1821   472.6963 1199.7776    8 16
1822   160.61786 2081.0005    12 16
1823   1290.0098 2282.2427    14 16
1824   685.8011 906.06866    14 16
1825   200.83823 1346.1375    8 16
1826   752.9204 284.57877    6 16
1827   1851.7513 1891.4238    8 16
1828   459.383 975.249    12 16
1829   748.85913 1189.9302    8 16
1830   344.3604 16.78918    6 16
1831   254.27042 1347.5181    8 16
1832   928.64014 249.26111    14 16
1833   1746.9385 2300.307    14 16
1834   1304.1716 2144.1543    8 16
1835   1423.1006 2169.8901    14 16
1836   1646.2802 2177.9717    18 16
1837   166.16275 2034.8318    12 16
1838   976.0077 1684.2034    8 16
1839   412.11407 370.28644    14 16
1840   1602.8369 1143.6003    8 16
1841   914.1854 930.4361    14 16
1842   1707.4619 682.42053    14 16
1843   1695.564 2041.6528    4 16
1844   1310.3846 621.3808    14 16
1845   745.99725 1729.8167    12 16
1846   456.50018 1346.2844    10 16
1847   1292.7303 445.99603    8 16
1848   89.83153 710.89465    12 16
1849   998.39307 2148.9238    8 16
1850   1879.8873 349.90125    8 16
1851   367.87103 1299.6814    6 16
1852   319.11435 432.1921    10 16
1853   1510.758 1613.6937    8 16
1854   115.688446 1689.9727    8 16
1855   1641.1895 444.20612    8 16
1856   1200.0708 1374.9304    6 16
1857   914.34 1490.5745    18 16
1858   219.34416 1024.508    6 16
1859   1327.5428 1408.1171    2 16
1860   1655.5627 2103.831    8 16
1861   295.49036 154.84987    6 16
1862   1624.7898 913.6704    8 16
1863   851.31604 2008.623    8 16
1864   246.19638 970.04913    6 16
1865   1288.6997 2084.7107    14 16
1866   1138.88 1593.0374    8 16
1867   605.0697 1505.4653    2 16
1868   1402.2827 614.1726    8 16
1869   81.35857 1355.8254    8 16
1870   1391.1418 991.04297    8 16
1871   1356.021 1907.9688    6 16
1872   1870.5077 1215.2056    8 16
1873   1781.2853 47.425827    14 16
1874   211.35144 17.649267    14 16
1875   589.32825 1347.2339    8 16
1876   1722.4819 2199.1375    14 16
1877   1866.9272 992.26184    14 16
1878   1854.7041 846.4314    6 16
1879   777.71234 1052.4738    6 16
1880   1210.4772 1233.959    8 16
1881   322.00842 1151.4407    6 16
1882   364.27283 1062.7319    12 16
1883   1297.9984 1518.564    8 16
1884   1865.1501 1197.3477    14 16
1885   343.87125 580.59644    6 16
1886   1624.0354 742.91864    6 16
1887   1482.2563 1799.9595    14 16
1888   733.2815 1742.9092    8 16
1889   530.30524 2135.9058    8 16
1890   585.577 835.0116    10 16
1891   206.90497 550.8295    8 16
1892   108.638374 1245.883    18 16
1893   64.120995 1610.8174    2 16
1894   246.34422 327.25177    12 16
1895   528.76776 1291.9457    14 16
1896   1097.2454 619.5685    8 16
1897   479.9918 2113.102    14 16
1898   1226.9236 2248.8726    14 16
1899   304.96436 270.8852    8 16
1900   1517.3726 888.83716    6 16
1901   272.47543 2058.6235    14 16
1902   1797.2251 1875.221    6 16
1903   863.98566 2254.809    14 16
1904   1109.5404 2049.711    20 16
1905   542.72864 805.2324    6 16
1906   1807.5807 1931.8695    8 16
1907   700.99146 2253.062    12 16
1908   155.25845 1528.1995    14 16
1909   73.469696 350.15546    14 16
1910   735.2777 323.32336    8 16
1911   1236.0541 244.27295    8 16
1912   612.5791 2213.2075    6 16
1913   1054.4458 520.47437    2 16
1914   619.4086 1025.7532    6 16
1915   812.73315 2003.9673    6 16
1916   894.2363 579.8263    8 16
1917   1620.8105 1776.8267    14 16
1918   1067.1914 1123.7899    14 16
1919   630.532 711.1825    8 16
1920   58.0335 2112.2595    8 16
1921   114.67056 1877.9946    14 16
1922   1062.9104 702.17413    14 16
1923   628.33496 2213.2075    6 16
1924   1558.279 1342.843    8 16
1925   720.9448 1063.4973    6 16
1926   1735.2374 1707.5073    14 16
1927   -1.3770332 1467.6259    18 16
1928   112.02311 2225.436    14 16
1929   275.35028 520.50024    8 16
1930   1781.5828 1470.9758    2 16
1931   1524.3462 1215.1334    14 16
1932   785.7111 2164.5298    12 16
1933   539.41956 1614.0696    10 16
1934   304.79807 1000.84204    6 16
1935   1819.1329 1931.8695    14 16
1936   341.90338 931.5636    2 16
1937   1456.4382 755.9971    8 16
1938   833.6294 1066.3528    14 16
1939   29.609257 298.40103    14 16
1940   1059.303 2301.9512    18 16
1941   991.1306 686.61414    8 16
1942   866.0001 346.7531    4 16
1943   734.744 1570.3904    12 16
1944   864.7855 2338.6787    12 16
1945   888.4233 426.8324    14 16
1946   1054.386 1320.5461    8 16
1947   147.54044 941.7791    10 16
1948   1123.23 755.88824    14 16
1949   580.3805 623.54944    12 16
1950   390.84503 1055.553    6 16
1951   1637.403 1349.6284    8 16
1952   65.08652 518.30786    14 16
1953   1782.938 1795.6216    14 16
1954   172.33449 1090.4019    4 16
1955   1112.3445 131.73743    8 16
1956   930.6857 32.265015    8 16
1957   961.1376 422.31818    8 16
1958   1266.1865 662.4298    14 16
1959   1757.7699 2202.5122    8 16
1960   423.39966 1469.8516    18 16
1961   1287.4326 563.52386    8 16
1962   654.88385 454.27222    10 16
1963   1855.6353 1802.9702    10 16
1964   1561.3579 284.23346    14 16
1965   322.18744 176.38889    6 16
1966   239.93463 1272.7672    6 16
1967   340.61395 1836.6559    8 16
1968   38.00592 2006.9976    8 16
1969   482.56555 1199.7776    8 16
1970   1211.3254 2020.1669    18 16
1971   592.1936 1816.4883    14 16
1972   1616.5471 1697.6407    14 16
1973   1546.0411 373.3241    14 16
1974   1089.8187 1085.5846    8 16
1975   1795.1531 888.4403    12 16
1976   1715.9673 1974.0844    8 16
1977   752.108 565.032    8 16
1978   1469.7196 611.2838    6 16
1979   1680.8484 2059.4895    8 16
1980   475.4717 1041.6187    6 16
1981   1711.1924 1097.4203    8 16
