# Legalization file
0 0      1 16      2295 144
374   1697.96 746.758    55 55
375   1649.52 482.748    67 67
376   195.134 1252.87    57 57
377   1572.66 1196    51 51
378   540.244 1307.63    40 40
379   882.661 1361.39    45 45
380   1761.5 1067.05    42 42
381   1593.28 1613.78    60 60
382   728.306 1377.79    44 44
383   1608.79 1485.91    32 32
384   1702.13 1203.19    49 49
385   1051.64 1025.01    39 39
386   145.166 1277.51    49 49
387   317.498 1234.55    41 41
388   1138.7 1202.52    46 46
389   1246.5 1380.2    36 36
390   1421.01 1038.88    55 55
391   834.242 1293.19    39 39
392   547.154 1479.07    36 36
393   1141.97 1097.91    41 41
394   1669.82 979.515    60 60
395   1479.26 1423.62    51 51
396   1569.05 1072.12    39 39
397   301.406 1096.99    58 58
398   306.234 1285.86    55 55
399   875.84 1314.15    37 37
400   693.952 1188.5    29 29
401   152.249 1325.74    42 42
402   1406.25 1400.2    34 34
403   1588.39 1269.35    42 42
404   1501.84 1609.35    37 37
405   1546.54 1784.8    38 38
406   732.787 1339.51    40 40
407   457.126 1684.9    33 33
408   1304.44 1501.77    49 49
409   1937.35 1173.83    65 65
410   1067.06 1141.78    48 48
411   560.461 1248.21    40 40
412   1387.19 856.529    34 34
413   552.416 1170    48 48
414   1709.78 1213.85    33 33
415   1052.41 987.528    37 37
416   236.969 1101.5    43 43
417   1199.36 1028.86    42 42
418   490.939 1682.05    34 34
419   815.557 1240.97    46 46
420   525.59 1724.56    61 61
421   1532.28 1430.73    38 38
422   1241.82 1148.41    39 39
423   1937.65 1548.99    63 63
424   1494.48 1285.6    42 42
425   539.418 1209.19    38 38
426   1226.3 1075.25    36 36
427   239.297 1315.37    54 54
428   476.05 1409.37    30 30
429   1340.64 1807.71    73 73
430   1307.81 1413.14    44 44
431   1502.59 1475.04    32 32
432   1519.29 1009.07    37 37
433   1190.76 1077.46    43 43
434   344.416 1510.55    44 44
435   363.045 1115.33    44 44
436   1674.87 1092.72    38 38
437   1329.2 1339.71    34 34
438   1563.08 982.522    32 32
439   535.976 1347.41    45 45
440   528.076 1633.72    33 33
441   1582.21 1477.61    32 32
442   838.779 1463.34    53 53
443   337.619 1059.65    46 46
444   1561.07 957.686    33 33
445   1648.36 1245.03    50 50
446   436.475 1415.23    48 48
447   1462.77 1195.96    68 68
448   388.959 1527.27    43 43
449   847.494 1208.58    38 38
450   731.011 1249.21    42 42
451   435.51 1344.6    53 53
452   1548.32 1634.81    34 34
453   572.303 1731.75    46 46
454   1621.21 891.824    35 35
455   1696.53 696.053    49 49
456   1491.24 1545.94    47 47
457   650.97 1343.14    43 43
458   514.246 1590.15    33 33
459   485.739 1573.06    35 35
460   1607.51 1625.58    31 31
461   208.855 1138.23    44 44
462   1483.58 1364.23    36 36
463   645.988 1404.83    32 32
464   90.6471 1272.43    56 56
465   1845.95 834.498    36 36
466   1607.75 1571.21    34 34
467   1833.15 691.426    52 52
468   302.375 1156.9    53 53
469   866.793 1275.81    36 36
470   1019.16 1738.09    64 64
471   1732.28 1377.5    79 79
472   1091.98 1261.43    48 48
473   1287 714.17    84 84
474   908.296 1064.51    57 57
475   1118.45 1519.85    46 46
476   1279 1380.17    38 38
477   1271.73 1250.78    48 48
478   1403.63 1742.29    46 46
479   227.003 1191.9    54 54
480   182.938 1071.89    38 38
481   1571.14 1553.71    32 32
482   100.089 1327.67    40 40
483   1708.54 642.518    57 57
484   1142.55 973.663    42 42
485   1202.1 864.526    56 56
486   925.458 1136.33    29 29
487   1320.03 890.802    54 54
488   1641.81 632.146    60 60
489   1120.75 1418.91    69 69
490   1179.86 1264.16    48 48
491   1318.19 1040.24    54 54
492   1486.51 601.733    65 65
493   431.278 1200.26    52 52
494   412.396 1145.26    47 47
495   503.904 1061.51    38 38
496   365.666 1198.57    41 41
497   1304.76 1210.39    33 33
498   1451.51 1573.7    41 41
499   1292.23 846.196    48 48
500   1581.93 1441.18    35 35
501   1734.49 828.309    41 41
502   1249.44 1037.18    66 66
503   1337.9 1207.41    37 37
504   1390.23 967.415    36 36
505   1281.57 1163.62    33 33
506   594.365 1113.39    38 38
507   274.875 1059.9    51 51
508   811.997 1429.87    36 36
509   1227.38 1274.36    34 34
510   932.381 1524.82    48 48
511   1667.85 1382.5    71 71
512   1677.97 790.556    36 36
513   1943.06 785.474    48 48
514   897.438 1527.53    48 48
515   1741.61 872.651    32 32
516   975.256 1521.12    58 58
517   1086.59 1264.66    49 49
518   1416.08 926.519    41 41
519   1541.59 1355.74    35 35
520   1521.5 967.008    37 37
521   1265.51 961.029    75 75
522   1252.58 846.134    49 49
523   1649.97 1363.45    36 36
524   1770.95 1191.04    79 79
525   605.572 1534.48    35 35
526   955.863 1084.1    32 32
527   1424.94 966.196    50 50
528   598.961 1151.36    71 71
529   1355.05 620.957    52 52
530   1932.63 837.44    63 63
531   1634.38 556.417    80 80
532   831.556 1514.35    72 72
533   1250.11 1293.64    38 38
534   480.355 1443.24    48 48
535   571.616 1659.22    54 54
536   406.244 1065.2    40 40
537   1905.66 884.22    57 57
538   1345.11 1295.34    52 52
539   1178.5 920.62    43 43
540   1587.62 1333.2    47 47
541   396.224 1730.92    51 51
542   1826.83 883.561    71 71
543   463.445 1175.72    48 48
544   1135.37 1196.64    46 46
545   1408.33 609.104    70 70
546   1530.96 1050.89    41 41
547   1258.23 1111.49    41 41
548   503.615 1165.1    50 50
549   639.509 1111.33    44 44
550   1354.85 789.471    60 60
551   454.558 1117.17    50 50
552   442.018 1595.27    37 37
553   353.612 1736.58    36 36
554   1480.59 660.246    70 70
555   683.821 1284.11    53 53
556   1371.72 1046.01    44 44
557   1608.24 976.408    46 46
558   1826.05 942.036    57 57
559   902.379 1197.2    62 62
560   1096.54 1038.36    31 31
561   520.594 1275.81    41 41
562   676.239 1551.55    48 48
563   513.576 1233.28    44 44
564   320.977 1236.59    39 39
565   1187.59 1189.47    56 56
566   1685.06 895.199    35 35
567   1546.19 1744.34    39 39
568   1537.35 1677.58    56 56
569   637.747 1475.05    39 39
570   1426.64 682.811    52 52
571   416.45 1108.73    40 40
572   1787.82 832.875    40 40
573   1657.82 1283.48    40 40
574   1497.67 1581.72    34 34
575   1909.68 941.426    47 47
576   782.792 1139.99    40 40
577   404.748 1676.38    48 48
578   1750.71 745.922    46 46
579   510.118 1394.26    49 49
580   1899.99 1007.63    64 64
581   1544.94 1683.18    42 42
582   1315.06 1161.31    49 49
583   1132.13 969.492    58 58
584   448.429 1058.01    51 51
585   252.758 1138.19    55 55
586   1724.28 883.723    39 39
587   236.948 1062.95    40 40
588   523.9 1627.37    45 45
589   585.552 1473.08    48 48
590   1575.11 1251.53    66 66
591   1645.69 1325.22    42 42
592   508.31 1105    51 51
593   1191.02 1133.55    49 49
594   1437.68 1497.59    50 50
595   1445.36 1379.58    41 41
596   1182.06 1381.8    64 64
597   1599.16 1676.2    55 55
598   366.799 1470.71    38 38
599   1312.47 1247.77    58 58
600   1593.2 1356.29    38 38
601   524.836 1675.89    46 46
602   387.433 1638.91    40 40
603   435.244 1639.99    46 46
604   985.346 1363.34    38 38
605   1278.54 1325.58    48 48
606   905.027 1406.12    55 55
607   1403.64 1460.74    47 47
608   581.724 1391.76    59 59
609   947.257 1318.75    37 37
610   841.101 1147.38    47 47
611   925.883 1357.41    52 52
612   980.22 1307.55    54 54
613   866.579 1237.76    35 35
614   915.325 1320.92    35 35
615   638.482 1534.45    38 38
616   863.363 1410.34    47 47
617   985.451 1385.84    38 38
618   1378.09 679.035    54 54
619   1293.98 1456.29    44 44
620   690.204 1060.23    47 47
621   462.313 1733.16    46 46
622   1478.57 1008.52    43 43
623   1727.51 1037.21    44 44
624   1546.91 1743.87    38 38
625   590.392 1594.4    36 36
626   1135.7 1036.37    61 61
627   488.878 1728.79    47 47
628   1582.51 1398.95    35 35
629   1886.55 747.097    52 52
630   1436.71 1428.32    42 42
631   1719.08 1601.97    67 67
632   1704.01 920.803    77 77
633   948.349 1743.72    62 62
634   437.588 1469.26    50 50
635   1792 1048.73    41 41
636   643.972 1436.74    36 36
637   1765.37 833.056    44 44
638   485.526 1522.65    35 35
639   513.011 1475.3    37 37
640   395.307 1433.64    45 45
641   1230.33 973.977    47 47
642   1338.48 968.583    73 73
643   1136.73 1137.43    53 53
644   405.249 1401.52    38 38
645   1515.38 1188.4    45 45
646   667.366 1486.43    62 62
647   479.382 1632.47    41 41
648   437.474 1550.11    46 46
649   1498 1511.86    36 36
650   444.433 1519.67    36 36
651   1030.83 1261.02    48 48
652   1027.76 1215.28    49 49
653   980.544 1256.75    48 48
654   987.318 1218.55    39 39
655   1655.82 1603.47    66 66
656   436.892 1590.18    46 46
657   1449.36 1310.97    46 46
658   1566.32 577.04    66 66
659   1191.9 971.325    54 54
660   1827.97 812.821    71 71
661   1834.56 692.096    50 50
662   1497.94 1110.3    76 76
663   1632.52 833.426    49 49
664   1243.09 1188.75    61 61
665   1948.82 941.825    42 42
666   1690.28 1832.82    42 42
667   1875.12 1205.9    42 42
668   1881.16 1101.01    42 42
669   1796.6 526.63    42 42
670   1202.8 1637.23    42 42
671   209.563 1494.6    42 42
672   1271.11 1827.27    42 42
673   873.82 1723.15    42 42
674   113.463 1146.92    42 42
675   1702.21 1334.48    42 42
676   1604.09 1759.19    42 42
677   801.994 1529.49    42 42
678   1433.79 432.239    42 42
679   1215.72 385.165    42 42
680   1795.82 482.035    42 42
681   2008.71 1447.9    42 42
682   1944.2 748.071    42 42
683   587.932 803.75    42 42
684   2119.94 414.055    42 42
685   1667.1 1457.45    42 42
686   1785.91 1679.1    42 42
687   1194.44 1592.93    42 42
688   1716.37 605.983    42 42
689   1059.37 18.0812    42 42
690   2094.34 856.237    42 42
691   1411.58 431.729    42 42
692   1333.89 501.348    42 42
693   1718.02 568.91    42 42
694   356.092 1565.99    42 42
695   1177.26 1664.21    42 42
696   1356.63 1924.18    42 42
697   2097.73 1187.74    42 42
698   1135.72 1489.39    42 42
699   1390.71 276.941    42 42
700   1787.45 1639.4    42 42
701   1516.95 539.81    42 42
702   1632.55 1461.67    42 42
703   1953.69 1002.11    42 42
704   1123.27 1440.81    42 42
705   229.86 1723.48    84 96
706   1989.21 659.689    84 96
707   91.578 1180.2    84 96
708   1903.4 1355.46    84 96
709   1774.71 386.879    84 96
710   1808.06 1089.21    84 96
711   1190.07 0    84 96
712   1252.18 199.615    84 96
713   772.463 1902.54    84 96
714   1864.96 7.99677    84 96
715   1381.22 476.149    84 96
716   5.83828 1140.57    84 96
717   5.30491 1056.28    84 96
718   213.724 1904    84 96
719   1096.01 1898.19    84 96
720   1253.21 1803.1    84 96
721   1997.43 1673.55    84 96
722   199.663 1813.71    84 96
723   1756.96 1904    84 96
724   1065.11 171.018    84 96
725   1999.35 558.068    84 96
726   1141.5 270.806    84 96
727   1473.86 329.316    84 96
728   1746.92 1279.9    84 96
729   1997.93 454.548    84 96
730   1064.68 457.026    84 96
731   1990.15 1473.06    84 96
732   1950.58 244.633    84 96
733   1373.54 106.885    84 96
734   1987.93 1354.68    84 96
735   6.25496 1595.72    84 96
736   1618.83 100.88    84 96
737   1816.19 1376.88    84 96
738   1872.81 293.517    84 96
739   2078 1698.18    84 96
740   607.465 1901.41    84 96
741   1865.64 102.584    84 96
742   1985.59 961.228    84 96
743   2.83116 1413.9    84 96
744   1671.2 1904    84 96
745   1233.57 403.367    84 96
746   372.624 1796.03    84 96
747   1531.31 203.832    84 96
748   1698.65 1.26908    84 96
749   1164.92 1796.47    84 96
750   1274 0.107996    84 96
751   1833.49 1712.51    84 96
752   2074.48 1016.09    84 96
753   1918.2 1714.65    84 96
754   1759.55 1811.95    84 96
755   1835.68 480.409    84 96
756   2077.79 1504.31    84 96
757   1423.4 1902.85    84 96
758   1457.41 79.8864    84 96
759   935.509 1902.69    84 96
760   1.73867 1230.44    84 96
761   373.119 1899.36    84 96
762   1781.88 0.566605    84 96
763   1835.44 579.011    84 96
764   715.308 1604.72    84 96
765   2029.69 244.16    84 96
766   1990.08 757.848    84 96
767   2078 455.628    84 96
768   1410.36 1804.4    84 96
769   82.013 1655.8    84 96
770   603.45 49.6326    84 96
771   928.061 1803.42    84 96
772   185.54 1464.86    84 96
773   115.239 1897.92    84 96
774   1949.88 10.4913    124 128
775   1251.78 1903.28    84 96
776   1228.74 290.888    84 96
777   7.07462 1505.36    84 96
778   1459.54 511.103    84 96
779   1996.4 1573.92    84 96
780   1545.98 299.257    84 96
781   1913.56 1616.28    84 96
782   264.347 1645.05    84 96
783   1927.37 1904    84 96
784   183.622 1368.33    84 96
785   127.837 1748.29    84 96
786   1864.78 385.368    84 96
787   1433.04 247.265    84 96
788   854.754 1696.71    84 96
789   1782.04 99.0919    84 96
790   1356.17 6.9528    84 96
791   186.15 1561.17    84 96
792   1759.78 581.521    84 96
793   93.9665 1060.33    84 96
794   295.861 1900.43    84 96
795   2078 1600.99    84 96
796   1683.83 388.494    84 96
797   2075.35 739.005    84 96
798   1852.7 1178.42    84 96
799   1296.85 104.153    84 96
800   1029.51 1410.32    84 96
801   1315.09 406.254    84 96
802   1540.38 104.317    84 96
803   770.945 1801.99    84 96
804   1384.37 333.428    84 96
805   1789.54 292.972    84 96
806   166.854 1650.58    84 96
807   1032.76 1506.22    84 96
808   1506.75 1903.44    84 96
809   1843.81 1808.16    84 96
810   2075.04 648.842    84 96
811   1616.52 1.66592    84 96
812   1951.97 358.561    84 96
813   1166.01 1696.18    84 96
814   1017.53 1902.49    84 96
815   1338.48 202.435    84 96
816   2023.78 1862.79    126 128
817   452.122 1795.44    84 96
818   853.769 1902.49    84 96
819   636.523 1603.11    84 96
820   1700.2 98.6875    84 96
821   1900.95 1444.37    84 96
822   1338.33 1896.21    84 96
823   1651.81 1707.64    84 96
824   1152.4 460.351    84 96
825   97.8181 1559.84    84 96
826   690.206 1709.17    84 96
827   1448.07 169.392    84 96
828   1106.84 0.9673    84 96
829   1947.11 143.527    84 96
830   1161.41 189.692    84 96
831   1982.45 864.403    84 96
832   1668.65 1804.25    84 96
833   2070.39 836.086    84 96
834   1615.13 200.186    84 96
835   1581.2 1801.38    84 96
836   1865.51 197.172    84 96
837   1227.25 1532.91    84 96
838   1251.78 1706.49    84 96
839   1053.71 73.4196    84 96
840   2077.56 1220.62    84 96
841   1854.02 1520.25    84 96
842   1707.05 293.815    84 96
843   728.331 1504.65    84 96
844   1912.12 1258.46    84 96
845   1370.9 1535.16    84 96
846   2075.79 1106.68    84 96
847   1116.76 1567.15    84 96
848   1693.79 1503.57    84 96
849   1988.94 1057.97    84 96
850   451.595 1900.12    84 96
851   1056.63 362.322    84 96
852   1221.41 99.1133    84 96
853   1842.59 1904    84 96
854   1909.77 1072.25    84 96
855   1087.25 1791.84    84 96
856   1928.78 1810.32    84 96
857   768.735 1699.4    84 96
858   1058.62 264.372    84 96
859   2028.39 137.108    84 96
860   292.174 1789.34    84 96
861   608.246 1798.26    84 96
862   1825.31 1281.03    84 96
863   689.261 1903.46    84 96
864   1994.03 1159.28    84 96
865   2073.78 928.618    84 96
866   1781.28 196.148    84 96
867   1626.33 299.146    84 96
868   1587.92 1901.45    84 96
869   1787.97 1458.91    84 96
870   1171.61 1899.93    84 96
871   1494.99 1809.39    84 96
872   2.70407 1322.49    84 96
873   1482.71 417.125    84 96
874   1035.23 1602.58    84 96
875   0 1706.1    84 96
876   1919.47 563.602    84 96
877   1445.88 0    84 96
878   1830.34 1617.3    84 96
879   2033.78 356.188    84 96
880   1442.28 1715.2    84 96
881   951.356 1582.93    84 96
882   93.8059 1465.13    84 96
883   272.367 1553.12    84 96
884   794.288 1594.04    84 96
885   1306.46 304.457    84 96
886   1747.34 1719.92    84 96
887   948.708 1423.97    84 96
888   1535.33 0.541868    84 96
889   1919.14 466.412    84 96
890   529.219 1899.44    84 96
891   848.893 1800.93    84 96
892   2074.69 1317.56    84 96
893   1008.91 1804.19    84 96
894   2075.7 1410.51    84 96
895   1714.92 479.706    84 96
896   2078 553.813    84 96
897   1903.68 657.225    84 96
898   1081.81 1693.21    84 96
899   610.305 1697.56    84 96
900   1199.62 1440.34    84 96
901   97.9033 1369.43    84 96
902   1697.71 196.629    84 96
903   1139.23 366.244    84 96
904   530.03 1797.03    84 96
905   689.402 1807.81    84 96
906   872.682 1590.2    84 96
907   1139.72 100.994    84 96
908   0.107209 12.0253    1052 1052
